 time            in              out             time            v1#branch       vdd             vdd#branch      vmeas#branch    vss            
 5.15000000e-10  1.20000000e+00  4.39670284e-06  5.15000000e-10 -8.64900883e-10  1.20000000e+00 -1.02536280e-08  1.11185289e-08  0.00000000e+00 
 5.25000000e-10  1.20000000e+00  4.44648083e-06  5.25000000e-10  8.75141607e-10  1.20000000e+00 -1.02677209e-08  9.39257930e-09  0.00000000e+00 
 5.35000000e-10  1.20000000e+00  4.40805778e-06  5.35000000e-10 -8.83046303e-10  1.20000000e+00 -1.02538500e-08  1.11368963e-08  0.00000000e+00 
 5.45000000e-10  1.20000000e+00  4.43771608e-06  5.45000000e-10  8.89147847e-10  1.20000000e+00 -1.02675495e-08  9.37840168e-09  0.00000000e+00 
 5.55000000e-10  1.20000000e+00  4.41482318e-06  5.55000000e-10 -8.93857558e-10  1.20000000e+00 -1.02539823e-08  1.11478398e-08  0.00000000e+00 
 5.65000000e-10  1.20000000e+00  4.43249395e-06  5.65000000e-10  8.97492930e-10  1.20000000e+00 -1.02674474e-08  9.36995449e-09  0.00000000e+00 
 5.75000000e-10  1.20000000e+00  4.41885409e-06  5.75000000e-10 -9.00299031e-10  1.20000000e+00 -1.02540611e-08  1.11543601e-08  0.00000000e+00 
 5.85000000e-10  1.20000000e+00  4.42938254e-06  5.85000000e-10  9.02465028e-10  1.20000000e+00 -1.02673866e-08  9.36492156e-09  0.00000000e+00 
 5.95000000e-10  1.20000000e+00  4.42125575e-06  5.95000000e-10 -9.04136936e-10  1.20000000e+00 -1.02541081e-08  1.11582450e-08  0.00000000e+00 
 6.05000000e-10  1.20000000e+00  4.42752872e-06  6.05000000e-10  9.05427462e-10  1.20000000e+00 -1.02673503e-08  9.36192288e-09  0.00000000e+00 
 6.15000000e-10  1.20000000e+00  4.42268669e-06  6.15000000e-10 -9.06423604e-10  1.20000000e+00 -1.02541360e-08  1.11605596e-08  0.00000000e+00 
 6.25000000e-10  1.20000000e+00  4.42642420e-06  6.25000000e-10  9.07192514e-10  1.20000000e+00 -1.02673287e-08  9.36013623e-09  0.00000000e+00 
 6.35000000e-10  1.20000000e+00  4.42353926e-06  6.35000000e-10 -9.07786028e-10  1.20000000e+00 -1.02541527e-08  1.11619387e-08  0.00000000e+00 
 6.45000000e-10  1.20000000e+00  4.42576611e-06  6.45000000e-10  9.08244154e-10  1.20000000e+00 -1.02673159e-08  9.35907172e-09  0.00000000e+00 
